trade_date,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
20100510,399300.SZ,20100510,2858.233,2842.366,2872.314,2798.523,2836.789,21.444,0.7559,50209173.0,64909188.147
20100511,399300.SZ,20100511,2800.817,2916.335,2922.125,2790.701,2858.233,-57.416,-2.0088,58363490.0,73894666.754
20100512,399300.SZ,20100512,2818.16,2781.708,2832.147,2756.422,2800.817,17.343,0.6192,53002271.0,64693988.243
20100513,399300.SZ,20100513,2886.911,2818.578,2886.972,2811.661,2818.16,68.751,2.4396,55145778.0,67486536.614
20100514,399300.SZ,20100514,2868.023,2865.58,2888.093,2849.241,2886.911,-18.888,-0.6543,42498719.0,55175291.043
20100517,399300.SZ,20100517,2714.715,2828.882,2828.882,2712.444,2868.023,-153.308,-5.3454,52166847.0,62395513.473
20100518,399300.SZ,20100518,2771.348,2711.407,2781.845,2686.973,2714.715,56.633,2.0861,54509671.0,62746245.805
20100519,399300.SZ,20100519,2762.174,2748.952,2803.695,2723.304,2771.348,-9.174,-0.331,45576221.0,54656401.336
20100520,399300.SZ,20100520,2726.022,2739.219,2793.876,2721.072,2762.174,-36.152,-1.3088,42174803.0,52677914.862
20100521,399300.SZ,20100521,2768.791,2656.419,2769.094,2647.597,2726.022,42.769,1.5689,54475383.0,63501808.937
20100524,399300.SZ,20100524,2873.469,2787.751,2886.368,2787.751,2768.791,104.678,3.7806,74502338.0,89961882.752
20100525,399300.SZ,20100525,2813.943,2851.256,2855.332,2798.02,2873.469,-59.526,-2.0716,55168327.0,67954988.05
20100526,399300.SZ,20100526,2813.944,2814.444,2839.031,2797.628,2813.943,0.001,0.0,39858564.0,48495603.059
20100527,399300.SZ,20100527,2859.979,2808.048,2866.865,2771.586,2813.944,46.035,1.636,53445209.0,65266773.667
20100528,399300.SZ,20100528,2850.302,2885.857,2893.687,2835.069,2859.979,-9.677,-0.3384,51534989.0,64342505.421
20100531,399300.SZ,20100531,2773.264,2835.334,2857.416,2772.792,2850.302,-77.038,-2.7028,46216854.0,56695803.642
20100601,399300.SZ,20100601,2744.162,2755.284,2782.288,2710.593,2773.264,-29.102,-1.0494,44851426.0,53230913.831
20100602,399300.SZ,20100602,2757.527,2729.328,2757.914,2700.075,2744.162,13.365,0.487,39587020.0,46364229.493
20100603,399300.SZ,20100603,2736.076,2769.096,2787.512,2735.7,2757.527,-21.451,-0.7779,39587258.0,47143262.922
20100604,399300.SZ,20100604,2744.391,2721.359,2748.476,2713.095,2736.076,8.315,0.3039,32746291.0,39858363.381
20100607,399300.SZ,20100607,2695.715,2692.831,2716.401,2673.342,2744.391,-48.676,-1.7737,39541993.0,47062703.369
20100608,399300.SZ,20100608,2699.336,2694.106,2720.586,2672.058,2695.715,3.621,0.1343,35140182.0,42677104.255
20100609,399300.SZ,20100609,2782.133,2711.642,2787.825,2687.331,2699.336,82.797,3.0673,60209533.0,70710080.539
20100610,399300.SZ,20100610,2750.023,2755.94,2776.259,2746.107,2782.133,-32.11,-1.1542,42906334.0,50312244.286
20100611,399300.SZ,20100611,2758.866,2766.196,2782.095,2755.949,2750.023,8.843,0.3216,40558585.0,48871478.557
20100617,399300.SZ,20100617,2742.733,2778.533,2784.916,2742.64,2758.866,-16.133,-0.5848,32612356.0,40293233.998
20100618,399300.SZ,20100618,2696.166,2739.032,2755.842,2686.614,2742.733,-46.567,-1.6978,41808344.0,50256350.918
20100621,399300.SZ,20100621,2780.663,2698.984,2784.47,2686.323,2696.166,84.497,3.134,55261482.0,62809190.519
